step,S,IE,R
0,100,1,0
1,"99,96039603960396","1,0346039603960395","0,005"
2,"99,92100570532301","1,0690192946769925","0,009975000000000001"
3,"99,88181209488779","1,1032607999141961","0,014927105198019803"
4,"99,84279865794002","1,1373429622771853","0,019858379782803158"
5,"99,80394918435913","1,1712799673520697","0,024770848288810474"
6,"99,76524779293364","1,2050857101510264","0,02966649691534154"
7,"99,72667892036596","1,238773804823201","0,03454727481084224"
8,"99,68822731059964","1,2723575940769312","0,039415095323417984"
9,"99,64987800445861","1,3058501583228295","0,04427183721854625"
10,"99,61161632958813","1,3392643245469062","0,04911934586495144"
11,"99,57342789068784","1,3726126749225749","0,05395943438957669"
12,"99,53529856002739","1,4059075551700504","0,05879388480255991"
13,"99,49721446823557","1,439161082671339","0,0636244490930945"
14,"99,45916199535425","1,47238515434872","0,06845285029702959"
15,"99,42112776214864","1,5055914543143238","0,0732807835370392"
16,"99,3830986216657","1,538791461298141","0,07810991703616613"
17,"99,34506165103296","1,5719964558615227","0,08294189310552186"
18,"99,30700414349012","1,605217527402986","0,08777832910690216"
19,"99,26891360064607","1,6384655809628854","0,09262081839105482"
20,"99,23077772495442","1,671751343833276","0,09747093121231534"
21,"99,19258441240063","1,7050853719790737","0,10233021562030511"
22,"99,15432174539426","1,7384780562763904","0,1072001983293667"
23,"99,1159779858599","1,7719396285737177","0,11208238556639132"
24,"99,0775415685209","1,805480167581437","0,11697826389767438"
25,"99,03900109436967","1,8391096045949205","0,12188930103541688"
26,"99,0003453243192","1,8728377290563305","0,12681694662447232"
27,"98,96156317303007","1,9066741939600116","0,13176263300992166"
28,"98,92264370290773","1,9406285211062255","0,1367277759860421"
29,"98,88357611826498","1,9747101062077954","0,14171377552721873"
30,"98,84434975964459","2,0089282238540727","0,146722016501333"
31,"98,80495409829737","2,0432920323364785","0,15175386936614596"
32,"98,76537873081108","2,0778105783397347","0,15681069084917942"
33,"98,72561337388566","2,1124928015027384","0,16189382461158422"
34,"98,68564785925061","2,147347538852915","0,16700460189646993"
35,"98,6454721287201","2,1823835291177343","0,1721443421621575"
36,"98,60507622938223","2,2176094169169556","0,17731435370080237"
37,"98,56445030891814","2,2530337568390344","0,18251593424282347"
38,"98,52358461104741","2,288665017405019","0,1877503715475601"
39,"98,4824694710963","2,3245115849231284","0,19301894398056765"
40,"98,44109531168493","2,360581767237103","0,19832292107795033"
41,"98,39945263853055","2,396883797371315","0,20366356409811842"
42,"98,35753203636312","2,4334258370755113","0,20904212656134585"
