step,"Flow: (0.04) S -> I, 
inducing by: I, ","Flow: (0.01) I -> R, 
 not inducing"
143,"0,6744000240643457","0,30880439308522123"
144,"0,6740388161030202","0,3124603493950125"
145,"0,6734012512219605","0,31607613406209256"
146,"0,6724892312815335","0,3196493852336912"
147,"0,6713051253114778","0,32317778369416966"
148,"0,6698517596837423","0,3266590571103427"
149,"0,6681324066481561","0,33009098413607674"
150,"0,6661507713061445","0,33347139836119755"
151,"0,663910977106942","0,336798192090647"
152,"0,6614175499591659","0,34006931994080997"
153,"0,6586754010581477","0,3432828022409935"
154,"0,655689808535999","0,3464367282291651"
155,"0,6524663980469744","0,34952925903223336"
156,"0,6490111224052657","0,35255863042238084"
157,"0,64533024039587","0,3555231553422097"
158,"0,6414302948816379","0,35842122619274625"
159,"0,6373180903310345","0,3612513168796352"
160,"0,6330006698915102","0,36401198461414913"
161,"0,6284852921327774","0,36670187146692274"
162,"0,6237794075826963","0,3693197056735813"
163,"0,6188906351759821","0,3718643026926724"
164,"0,6138267387325932","0,3743345660175055"
165,"0,6085956035785154","0,37672948774465637"
166,"0,6032052134167993","0,379048148902995"
167,"0,5976636275511963","0,381289719548133"
168,"0,5919789585586773","0,38345345862816366"
169,"0,5861593505005671","0,38553871362746883"
170,"0,5802129577550796","0,3875449199961998"
171,"0,5741479245467912","0,3894716003737886"
172,"0,5679723652410944","0,39131836361551864"
173,"0,561694345464045","0,3930849036317744"
174,"0,5553218641003104","0,39477099805009713"
175,"0,5488628362142236","0,39637650671059926"
176,"0,5423250769313207","0,39790137000563547"
177,"0,5357162863102457","0,39934560707489236"
178,"0,5290440352276176","0,4007093138672459"
179,"0,5223157522914006","0,40199266108084963"
180,"0,5155387117915755","0,40319589199295514"
181,"0,508720022690491","0,40431932019094136"
182,"0,5018666186492358","0,4053633272159368"
183,"0,4949852490807202","0,40632836013026985"
184,"0,48808247121493414","0,40721492901977435"
185,"0,4811646431570574","0,40802360444172603"
186,"0,4742379179147487","0,4087550148288793"
187,"0,4673082383670515","0,40940984385973805"
188,"0,46038133314390045","0,40998882780481116"
189,"0,45346271338222144","0,4104927528582021"
190,"0,4465576703220473","0,4109224524634423"
191,"0,43967127370393855","0,4112788046420283"
192,"0,4328083709272647","0,41156272933264737"
193,"0,42597358692756715","0,41177518574859356"
194,"0,419171324730253","0,4119171697603833"
195,"0,4124057666372565","0,41198971131008194"
196,"0,4056808760030038","0,4119938718633537"
197,"0,39900039955603356","0,41193074190475015"
198,"0,3923678702229004","0,411801438481263"
199,"0,3857866104115302","0,41160710279867935"
200,"0,37925973571195243","0,4113488978748079"
201,"0,37279015897329293","0,4110280062531793"
202,"0,36638059471705064","0,41064562778038044"
203,"0,36003356384796625","0,41020297744974715"
204,"0,3537513986252086","0,4097012833137293"
205,"0,347536247858128","0,409141784466844"
206,"0,34139008229243933","0,40852572910075685"
207,"0,33531470015437215","0,4078543726326737"
208,"0,32931173282205495","0,40712897590789066"
209,"0,3233826505951605","0,4063508034770323"
210,"0,3175287685356154","0,4055211219482136"
211,"0,31175125235395795","0,4046411984140877"
212,"0,30605112431770026","0,40371229895348637"
213,"0,3004292691598004","0,40273568720712843"
214,"0,29488643996706976","0,40171262302665517"
215,"0,2894232640300251","0,4006443611960594"
216,"0,2840402486373258","0,3995321502243991"
217,"0,2787377867995213","0,3983772312085283"
218,"0,27351616288835706","0,39718083676443827"
219,"0,2683755581793472","0,39594419002567743"
220,"0,2633160562867213","0,3946685037072141"
221,"0,25833764848117696","0,39335497923300916"
222,"0,25344023888213124","0,3920048059254908"
223,"0,24862364951734856","0,39061916025505716"
224,"0,24388762524393984","0,3891992051476801"
225,"0,23923183852577498","0,3877460893486427"
226,"0,23465589406332116","0,386260946840414"
227,"0,2301593332728296","0,3847448963126431"
228,"0,22574163861262928","0,383199040682245"
229,"0,22140223775505877","0,38162446666154887"
230,"0,2171405076032766","0,38002224437248394"
231,"0,21295577815283737","0,3783934270047919"
232,"0,20884733619850765","0,3767390505162723"
233,"0,20481442888733054","0,3750601333730947"
234,"0,2008562671194219","0,373357676328237"
235,"0,19697202879841236","0,3716326622361488"
236,"0,19316086193382437","0,3698860559017714"
237,"0,18942188759801062","0,36811880396209196"
238,"0,18575420274056856","0,36633183479845116"
239,"0,18215688286339873","0,36452605847787234"
240,"0,1786289845597885","0,36270236672172756"
241,"0,17516954792108197","0,36086163290010814"
242,"0,17177759881464533","0,35900471205031786"
243,"0,16845215103695552","0,35713244091796115"
244,"0,16519220834573148","0,3552456380191511"
245,"0,16199676637509378","0,3533451037224169"
246,"0,1588648144377831","0,35143162034894365"
247,"0,1557953372184923","0,34950595228983206"
248,"0,15278731636237092","0,34756884613911865"
249,"0,14983973196275086","0,34562103084135115"
250,"0,1469515639521158","0,34366321785256515"
251,"0,1441217934002967","0,34169610131356065"
252,"0,1413494037238255","0,33972035823442803"
253,"0,13863338181031723","0,33773664868932196"
254,"0,13597271906168143","0,3357456160205319"
255,"0,133366412359884","0,3337478870509434"
256,"0,1308134649588985","0,33174407230403286"
257,"0,12831288730639337","0,32973476623058146"
258,"0,12586369779860865","0,3277205474413396"
259,"0,12346492347177707","0,3257019789449123"
260,"0,1211156006333428","0,32367960839018095"
261,"0,1188147754361279","0,3216539683126126"
262,"0,11656150439849265","0,31962557638384775"
263,"0,11435485487342863","0,3175949356639942"
264,"0,11219390546941928","0,3155625348560886"
265,"0,11007774642579506","0,31352884856222185"
266,"0,10800547994520622","0,3114943375408576"
267,"0,10597622048573095","0,3094594489649011"
268,"0,10398909501503426","0,30742461668010934"
269,"0,10204324322889069","0,3053902614634586"
270,"0,1001378177362845","0,303356791281113"
271,"0,09827198421320316","0,30132460154566465"
272,"0,09644492152714412","0,29929407537234004"
273,"0,09465582183426208","0,29726558383388807"
274,"0,09290389065099246","0,2952394862138918"
275,"0,0911883469018994","0,2932161302582628"
276,"0,08950842294541016","0,2911958524246992"
277,"0,08786336457901558","0,2891789781299063"
278,"0,08625243102543588","0,28716582199439733"
279,"0,08467489490117372","0,28515668808470773"
280,"0,0831300421688014","0,2831518701528724"
281,"0,0816171720742585","0,2811516518730317"
282,"0,08013559707036524","0,27915630707504396"
283,"0,07868464272769253","0,2771660999749972"
284,"0,07726364763386429","0,2751812854025242"
285,"0,0758719632823077","0,27320210902483755"
286,"0,0745089539514083","0,27122880756741224"
287,"0,07317399657497024","0,26926160903125224"
288,"0,07186648060483015","0,26730073290668943"
289,"0,07058580786642034","0,2653463903836708"
290,"0,06933139240802992","0,2633987845584983"
291,"0,06810266034446481","0,26145811063699365"
292,"0,06689904969576474","0,2595245561340684"
293,"0,06572001022159213","0,25759830106968534"
294,"0,064565003251869","0,25567951816120443"
295,"0,06343350151419913","0,253768373012111"
296,"0,06232498895857767","0,2518650242971319"
297,"0,061238960579855464","0,24996962394374642"
298,"0,06017492223839365","0,24808231731010755"
299,"0,05913239047931319","0,2462032433593904"
300,"0,05811089235071527","0,24433253483058961"
301,"0,05710996522122047","0,24247031840579086"
302,"0,056129156597150044","0,24061671487394518"
303,"0,055168023939646704","0,23877183929117723"
304,"0,05422613448201035","0,2369358011376619"
305,"0,05330306504750216","0,2351087044711054"
306,"0,05239840186784968","0,23329064807686936"
307,"0,051511740402666865","0,23148172561477917"
308,"0,05064268515998431","0,22968202576265806"
