step,S,E,I,R
83,"96,28991944836713","2,6193572642049068","1,6135272571675854","0,4771960302603158"
84,"96,22838819703232","2,6546949428976743","1,6316531935237966","0,48526366654615377"
85,"96,16620548142465","2,690330709076355","1,6500418769851544","0,49342193251377275"
86,"96,10336260372362","2,7262702796866254","1,6686949746909923","0,5016721418986986"
87,"96,03985084204928","2,7625193385641116","1,6876142026144034","0,5100156167721536"
88,"95,975661449456","2,7990835377717422","1,7068013249869725","0,5184536877852256"
89,"95,9107856529695","2,8359684988805327","1,726258153739755","0,5269876944101605"
90,"95,84521465266651","2,8731798141947076","1,7459865479598615","0,5356189851788592"
91,"95,77893962079726","2,91072304792202","1,7659884133620092","0,5443489179186585"
92,"95,71195170094997","2,9486037372900977","1,7862657017744192","0,5531788599854686"
93,"95,64424200725757","2,9868273936095915","1,806820410638448","0,5621101884943407"
94,"95,57580162364619","3,025399503284884","1,8276545825213515","0,5711442905475329"
95,"95,50662160312515","3,0643255287730686","1,8487703046415935","0,5802825634601396"
96,"95,43669296711862","3,1036109094918727","1,8701697084061162","0,5895264149833476"
97,"95,3660067048384","3,1432610626771758","1,8918549689590043","0,5988772635253782"
98,"95,29455377269807","3,1832813841907313","1,913828304740981","0,6083365383701732"
99,"95,22232509376822","3,223677249278666","1,9360919770591833","0,6179056798938781"
100,"95,14931155727278","3,2644540132813114","1,958648289666674","0,627586139779174"
101,"95,0755040181264","3,30561701229488","1,9814995883511537","0,6373793812275074"
102,"95,00089329651286","3,347171563785474","2,0046482605323463","0,6472868791692631"
103,"94,9254701775046","3,389122967155886","2,0280967348675394","0,6573101204719248"
104,"94,8492254107233","3,4314765042656195","2,0518474808647604","0,6674506041462626"
105,"94,77214971004173","3,474237439904534","2,0759030085030927","0,6777098415505863"
106,"94,69423375332673","3,5174110222204913","2,100265867859622","0,6880893565931018"
107,"94,61546818222367","3,561002483101349","2,124938648742529","0,6985906859323999"
108,"94,53584360198236","3,605017038511633","2,1499239803298296","0,7092153791761125"
109,"94,4553505813247","3,649459888784185","2,1752245308132965","0,7199649990777617"
110,"94,37397965235398","3,694336218867063","2,2008430070470717","0,7308411217318281"
111,"94,29172131050642","3,739651198525951","2,226782154200507","0,7418453367670635"
112,"94,2085660145448","3,7854099825023084","2,253044755414764","0,7529792475380661"
113,"94,12450418659462","3,83161771062747","2,2796336314627137","0,76424447131514"
114,"94,03952621222294","3,8782795078928842","2,3065516404116746","0,7756426394724535"
115,"93,95362244056022","3,9254004844766643","2,333801677288545","0,7871753976745118"
116,"93,86678318446552","3,972985735726597","2,361386673746869","0,7988444060609545"
117,"93,7789987207351","4,021040342099741","2,3893095977354006","0,8106513394296889"
118,"93,69025929035512","4,069569369058731","2,417573453167721","0,8225978874183659"
119,"93,60055509879838","4,118577866924881","2,44618127959247","0,8346857546842046"
120,"93,50987631636585","4,168070870688165","2,4751361518637562","0,8469166610821669"
121,"93,418213078573","4,218053399774133","2,504441179811319","0,8592923418414857"
122,"93,32555548658158","4,268530457767825","2,5340995079100037","0,8718145477405423"
123,"93,23189360767704","4,319507032094691","2,564114314948132","0,8844850452800923"
124,"93,13721747579221","4,370988093658562","2,5944888136943383","0,897305616854833"
125,"93,04151709207754","4,4229785964366535","2,625226250562452","0,9102780609233047"
126,"92,94478242551823","4,475483477031605","2,6563299052740064","0,9234041921761169"
127,"92,84700341359898","4,528507654180532","2,6878030905179524","0,9366858417024869"
128,"92,74816996301665","4,582056028221064","2,7196491516071677","0,9501248571550767"
129,"92,64827195044118","4,636133480514313","2,751871466131343","0,9637231029131125"
130,"92,54729922332562","4,690744872824733","2,784473443605829","0,9774824602437692"
131,"92,44524160076531","4,745895046656799","2,8174585251160473","0,9914048274617984"
132,"92,3420888744071","4,801588822548444","2,850830182957035","1,0054921200873785"
133,"92,23783080940889","4,857830999321162","2,8845919202677344","1,0197462710021636"
134,"92,13245714545015","4,9146263532867","2,9187472706596074","1,0341692306035024"
135,"92,02595759779373","4,9719796374102465","2,9532997978391764","1,0487629669568004"
136,"91,91832185839986","5,029895580430014","2,9882530952240827","1,0635294659459962"
137,"91,80953959709247","5,088378885933107","3,0236107855522625","1,0784707314221167"
138,"91,69960046277866","5,14743423138758","3,0593765204838324","1,093588785349878"
139,"91,5884940847218","5,207066267130565","3,0955539801952887","1,1088856679522971"
140,"91,47621007386871","5,26727961531235","3,1321468729656177","1,1243634378532736"
141,"91,36273802423163","5,328078868796301","3,1691589347539133","1,1400241722181017"
142,"91,24806751432547","5,3894685900145065","3,2065939287681067","1,1558699668918713"
143,"91,13218810866081","5,451453309779018","3,2444556450244115","1,1719029365357119"
144,"91,01508935929346","5,514037526048583","3,2827478998970796","1,1881252147608339"
145,"90,89676080743081","5,577225702650738","3,3214745356580804","1,2045389542603193"
146,"90,77719198509588","5,641022267959155","3,3606394200062972","1,2211463269386098"
147,"90,65637241684931","5,705431613526135","3,4002464455858576","1,2379495240386413"
148,"90,53429162157006","5,770458092670121","3,4402995294931897","1,2549507562665707"
149,"90,41093911429533","5,836106019018147","3,480802612772425","1,2721522539140366"
150,"90,28630440812019","5,902379665003114","3,5217596598987444","1,2895562669778988"
151,"90,16037701615747","5,969283260315798","3,563174658249282","1,3071650652773925"
152,"90,03314645355859","6,03682099031152","3,6050516175611933","1,3249809385686389"
153,"89,9046022395956","6,104996994371386","3,6473945693765026","1,3430061966564448"
154,"89,77473389980524","6,173815364218031","3,690207566473334","1,3612431695033274"
155,"89,64353096819526","6,243280142185828","3,7334946822831476","1,379694207335694"
156,"89,51098298951375","6,313395319445491","3,7772600102935905","1,3983616807471098"
157,"89,37707952158172","6,384164834183061","3,8215076634365777","1,4172479807985776"
158,"89,24181013768971","6,4555925697332315","3,8662417734612253","1,4363555191157604"
159,"89,10516442905858","6,52768235266704","3,9114664902912515","1,4556867279830665"
160,"88,96713200736505","6,6004379508338955","3,9571859813664654","1,4752440604345227"
161,"88,8277025073326","6,673863071358002","4,003404430967972","1,495029990341355"
162,"88,68686558938782","6,747961358589198","4,050126039526712","1,515047012496195"
163,"88,54461094238283","6,822736392008291","4,097355022914971","1,5352976426938285"
164,"88,40092828638409","6,89819168408695","4,145095611720478","1,5557844178084033"
165,"88,25580737552788","6,974330678102281","4,193352050502746","1,5765098958670056"
166,"88,10923800094295","7,051156745906187","4,242128597031255","1,5974766561195193"
167,"87,96120999374041","7,1286731856496734","4,29142952150516","1,6186872991046755"
168,"87,81171322807133","7,2068832194622665","4,341259105754131","1,6401444467122013"
169,"87,66073762425222","7,285789991086747","4,391621642419983","1,6618507422409718"
170,"87,50827315195869","7,36539656346941","4,44252143411875","1,6838088504530717"
171,"87,35430983348729","7,44570591630612","4,493962792582851","1,7060214576236654"
172,"87,19883774708593","7,526720943544424","4,5459500377829976","1,7284912715865797"
173,"87,04184703035287","7,608444450842049","4,598487497029527","1,7512210217754947"
174,"86,88332788370438","7,690879152982117","4,651579504052799","1,7742134592606422"
175,"86,72327057391122","7,77402767124546","4,705230398062356","1,7974713567809062"
176,"86,5616654377038","7,8578925307404335","4,759444522784499","1,820997508771218"
177,"86,39850288544613","7,942476157690686","4,81422622547798","1,8447947313851405"
178,"86,23377340487855","8,027780876681362","4,869579855927497","1,8688658625125303"
179,"86,06746756492883","8,113808907864255","4,925509765414673","1,8932137617921678"
180,"85,89957601959198","8,200562364122472","4,982020305666242","1,9178413106192411"
181,"85,73008951187802","8,2880432481952","5,039115827779136","1,9427514121475724"
182,"85,55899887782803","8,376253449763238","5,0968006811221915","1,967946991286468"
183,"85,38629505059768","8,465194742495962","5,155079212214213","1,993430994692079"
184,"85,21196906460824","8,554868781060438","5,2139557635781015","2,01920639075315"
185,"85,03601205976457","8,6452770980935","5,273434672570815","2,04527616957104"
186,"84,85841528573958","8,736421101137559","5,333520270188895","2,071643342933894"
187,"84,67917010632469","8,828302069541074","5,394216879849326","2,0983109442848384"
