step,S,I,R
110,"75,8843697816402","18,161484906779993","6,954145311579767"
111,"75,33855875730366","18,525681082048738","7,135760160647567"
112,"74,78580702949415","18,893175999037755","7,321016971468054"
113,"74,22622627130076","19,263824997240768","7,509948731458431"
114,"73,65993675324296","19,637476265326157","7,702586981430839"
115,"73,08706734346188","20,01397091245398","7,898961744084101"
116,"72,50775548608026","20,393143060711072","8,099101453208641"
117,"71,92214715711444","20,77481995906978","8,303032883815753"
118,"71,33039679740799","21,15882211918553","8,510781083406451"
119,"70,73266722214966","21,544963473252","8,722369304598306"
120,"70,12912950663801","21,933051554031127","8,937818939330826"
121,"69,51996284806042","22,32288769706841","9,157149454871139"
122,"68,90535440316472","22,714267264993417","9,380378331841822"
123,"68,28549910181717","23,10697989369104","9,607521004491756"
124,"67,66059943655921","23,50080976001209","9,838590803428668"
125,"67,03086522839804","23,895535870573138","10,073598901028788"
126,"66,39651336918983","24,29093237107562","10,312554259734519"
127,"65,75776754110025","24,68676887545445","10,555463583445276"
128,"65,11485791375253","25,08281081404763","10,80233127219982"
129,"64,46802081979837","25,478819799861313","11,053159380340297"
130,"63,81749840977011","25,874554011890957","11,30794757833891"
131,"63,163538287192935","26,269768594349223","11,566693118457819"
132,"62,50639312505239","26,664216070546274","11,82939080440131"
133,"61,846320264823916","27,05764677006929","12,096032965106772"
134,"61,18358129937671","27,449809267815798","12,366609432807465"
135,"60,51844164116293","27,84045083335142","12,641107525485623"
136,"59,851170077193885","28,22931788898695","12,919512033819137"
137,"59,18203831238718","28,616156474903786","13,201805212709006"
138,"58,51132050294123","29,0007127196007","13,487966777458045"
139,"57,839292781455974","29,382733313889954","13,777973904654052"
140,"57,16623277557022","29,761965986636806","14,071801237792952"
141,"56,49241912192639","30,138159980414272","14,369420897659321"
142,"55,81813097730174","30,511066525234778","14,670802497463464"
143,"55,14364752876205","30,880439308522124","14,975913162715813"
144,"54,469247504697705","31,24603493950125","15,284717555801034"
145,"53,795208688594684","31,607613406209257","15,597177905196046"
146,"53,12180743737272","31,96493852336912","15,913254039258138"
147,"52,44931820609119","32,31777836941696","16,23290342449183"
148,"51,778013080779715","32,66590571103427","16,556081208186"
149,"51,10816132109597","33,009098413607674","16,882740265296345"
150,"50,440028914447815","33,34713983611975","17,212831249432423"
151,"49,77387814314167","33,679819209064696","17,54630264779362"
152,"49,10996716603473","34,00693199408099","17,883100839884268"
153,"48,44854961607556","34,32828022409935","18,223170159825077"
154,"47,78987421501741","34,64367282291651","18,56645296206607"
155,"47,13418440648142","34,95292590322334","18,912889690295234"
156,"46,48171800843444","35,25586304223808","19,26241894932747"
157,"45,83270688602918","35,552315534220966","19,614977579749848"
158,"45,18737664563331","35,842122619274626","19,970500735092056"
159,"44,54594635075167","36,12513168796352","20,328921961284802"
160,"43,908628260420635","36,401198461414914","20,690173278164437"
161,"43,275627590529126","36,67018714669227","21,054185262778585"
162,"42,647142298396346","36,93197056735813","21,420887134245508"
163,"42,02336289081365","37,18643026926724","21,79020683991909"
164,"41,40447225563767","37,43345660175055","22,16207114261176"
165,"40,79064551690508","37,67294877446564","22,536405708629268"
166,"40,182049913326566","37,9048148902995","22,913135196373926"
167,"39,578844699909766","38,1289719548133","23,29218334527692"
168,"38,98118107235857","38,345345862816366","23,673473064825053"
169,"38,38920211379989","38,55387136274688","24,056926523453217"
170,"37,803042763299324","38,75449199961998","24,442465237080686"
171,"37,222829805544244","38,94716003737886","24,830010157076885"
172,"36,64868188099745","39,13183636155186","25,219481757450673"
173,"36,080709515756354","39,30849036317744","25,61080012106619"
174,"35,519015170292306","39,477099805009715","26,003885024697965"
175,"34,963693306192","39,63765067105992","26,398656022748064"
176,"34,41483046997777","39,79013700056355","26,795032529458663"
177,"33,87250539304645","39,93456070748923","27,192933899464297"
178,"33,336789106736205","40,07093138672459","27,59227950653919"
179,"32,807745071508585","40,19926610808496","27,992988820406435"
180,"32,28542931921719","40,319589199295514","28,394981481487285"
181,"31,769890607425612","40,431932019094134","28,79817737348024"
182,"31,261170584735122","40,53633272159368","29,20249669367118"
183,"30,759303966085888","40,63283601302698","29,607860020887117"
184,"30,264318717005168","40,721492901977435","30,014188381017387"
185,"29,776236245790233","40,8023604441726","30,42140331003716"
186,"29,295071602633175","40,875501482887934","30,829426914478887"
187,"28,820833684718426","40,940984385973806","31,238181929307768"
188,"28,353525446351377","40,99888278048112","31,647591773167505"
189,"27,893144113207477","41,04927528582021","32,057580600972315"
190,"27,439681399825254","41,09224524634423","32,46807335383052"
191,"26,993123729503207","41,12788046420283","32,878995806293965"
192,"26,553452455799267","41,15627293326474","33,290274610935995"
193,"26,120644084872","41,177518574859356","33,70183734026864"
194,"25,694670497944433","41,19171697603833","34,113612526017235"
195,"25,27549917321418","41,19897113100819","34,52552969577762"
196,"24,863093406576922","41,199387186335365","34,937519407087706"
197,"24,45741253057392","41,193074190475016","35,34951327895106"
198,"24,058412131017885","41,1801438481263","35,761444020855805"
199,"23,666044260794983","41,160710279867935","36,17324545933707"
200,"23,280257650383454","41,13488978748079","36,584852562135744"
201,"22,900997914671503","41,10280062531793","36,99620146001055"
202,"22,52820775569821","41,064562778038045","37,407229466263736"
203,"22,16182716098116","41,02029774497471","37,81787509404412"
204,"21,801793597133194","40,970128331372926","38,22807807149387"
205,"21,448042198507984","40,9141784466844","38,6377793548076"
206,"21,100505950649858","40,852572910075686","39,046921139274446"
207,"20,75911586835742","40,78543726326737","39,455446868375205"
208,"20,42380116820305","40,71289759078906","39,86330124100788"
209,"20,094489435380993","40,63508034770323","40,27043021691577"
210,"19,771106784785832","40,55211219482136","40,6767810203928"
211,"19,453578016250216","40,46411984140877","41,082302142341014"
