step,"Flow: (0.04) S -> I, 
inducing by: I, ","Flow: (0.01) I -> R, 
 not inducing"
144,"0,6726920823098169","0,3007709153442713"
145,"0,6728343199753815","0,3043397415562546"
146,"0,6727161545898368","0,30787251746966776"
147,"0,6723388525538779","0,3113670175821346"
148,"0,6717041097183133","0,31482105242306097"
149,"0,6708140441014284","0,31823247246980196"
150,"0,6696711871239984","0,3215991719498834"
151,"0,6682784734187355","0,32491909251564954"
152,"0,6666392292793176","0,32819022677842263"
153,"0,6647571598218758","0,3314106216900424"
154,"0,6626363349388729","0,3345783817605157"
155,"0,6602811741316162","0,33769167210141904"
156,"0,657696430313172","0,3407487212856703"
157,"0,6548871726781457","0,34374782401530246"
158,"0,6518587687396482","0,34668734358992326"
159,"0,648616865636741","0,3495657141696256"
160,"0,6451673708177679","0,35238144282721195"
161,"0,6415164322062181","0,35513311138570397"
162,"0,6376704179561475","0,35781937803821623"
163,"0,63363589590374","0,3604389787483764"
164,"0,6294196128203388","0,36299072843055585"
165,"0,6250284735702699","0,3654735219102384"
166,"0,6204695202740503","0,3678863346658836"
167,"0,6157499115741922","0,37022822335463235"
168,"0,6108769020968164","0,37249832612515066"
169,"0,6058578221977543","0,3746958627218047"
170,"0,6007000580768039","0,3768201343852033"
171,"0,5954110323383831","0,3788705235549266"
172,"0,5899981850710458","0,38084649338098375"
173,"0,5844689555122967","0,3827475870511938"
174,"0,5788307643588783","0,38457342694227936"
175,"0,5730909967763185","0,38632371360297413"
176,"0,5672569861550614","0,38799822457790606"
177,"0,5613359986540156","0,3895968130813886"
178,"0,555335218565917","0,3911194065305742"
179,"0,5492617345325579","0,3925660049476623"
180,"0,5431225266317332","0,3939366792410375"
181,"0,5369244543517463","0,39523156937532394"
182,"0,5306742454635385","0,3964508824404005"
183,"0,5243784857949857","0,39759489062941167"
184,"0,5180436099066941","0,3986639291357526"
185,"0,5116758926637182","0,39965839397889413"
186,"0,5052814416930643","0,40057873976875286"
187,"0,49886619071263677","0,4014254774181116"
188,"0,49243589371343455","0,4021991718123479"
189,"0,4859961199733374","0,40290043944545256"
190,"0,47955224987771367","0,4035299460310086"
191,"0,47310947151935345","0,4040884040964602"
192,"0,46667277804786034","0,4045765705686409"
193,"0,4602469657366291","0,4049952443581487"
194,"0,45383663273386565","0,40534526394975445"
195,"0,4474461784627793","0,40562750500562067"
196,"0,4410798036350546","0,4058428779876895"
197,"0,4347415108410006","0,40599232580516936"
198,"0,42843510567933496","0,40607682149262503"
199,"0,42216419838939007","0,40609736592374585"
200,"0,4159322059485988","0,40605498556544034"
201,"0,4097423545984061","0,40595073027648926"
202,"0,40359768276224706","0,4057856711545702"
203,"0,39750104431990535","0,4055608984350697"
204,"0,3914551122033983","0,4052775194447005"
205,"0,38546238228050983","0,40493665661256506"
206,"0,3795251774931908","0,40453944554093824"
207,"0,37364565221924123","0,40408703313769034"
208,"0,36782579682697986","0,4035805758119369"
209,"0,3620674423939561","0,4030212377341814"
210,"0,3563722655621712","0,40241018916191207"
211,"0,3507417935037204","0,40174860483133373"
212,"0,345177408972243","0,401037662415642"
213,"0,33968035541705244","0,40027854105000016"
214,"0,3342517421383074","0,3994724199231457"
215,"0,3288925494630686","0,39862047693533575"
216,"0,32360363392354485","0,3977238874221455"
217,"0,3183857334202766","0,39678382294344844"
218,"0,31323947235440985","0,39580145013674506"
219,"0,30816536671458095","0,39477792963385333"
220,"0,3031638291052646","0,3937144150398437"
221,"0,298235173704709","0,392612051972978"
222,"0,29337962114181654","0,39147197716430887"
223,"0,28859730328249766","0,39029531761550185"
224,"0,28388826791714955","0,389083189813364"
225,"0,27925248334196623","0,3878366989994952"
226,"0,27468984282779657","0,3865569384934201"
227,"0,27020016897120724","0,3852449890675172"
228,"0,2657832179232966","0,3839019183720203"
229,"0,26143868349263405","0,3825287804083471"
230,"0,25716620111946964","0,38112661504898576"
231,"0,25296535171907797","0,3796964476021661"
232,"0,24883566539275845","0,3782392884195342"
233,"0,24477662500562378","0,37675613254505663"
234,"0,2407876696308691","0,3752479594033898"
235,"0,2368681978607164","0,37371573252596285"
236,"0,23301757098469675","0,37216039931304734"
237,"0,22923511603634583","0,37058289083010737"
238,"0,22552012870976243","0,36898412163675465"
239,"0,22187187614781437","0,3673649896466663"
240,"0,21828959960407157","0,3657263760168544"
241,"0,21477251698080313","0,3640691450647182"
242,"0,21131982524560422","0,3623941442113467"
243,"0,20793070272941086","0,36070220394958363"
